;PROCED;LATITUD;LONGITUD;REGION;PUERTO;ANO_REG;MES_REG;DIA_REG;FUNCION;EMBARC;CAPTURA_1;UNIDAD_1;CAPTURA_2;UNIDAD_2;DESTINO;ANO_ZAR;MES_ZAR;DIA_ZAR;HOR_ZAR;ANO_ARR;MES_ARR;DIA_ARR;HOR_ARR;PROF;HOR_BUC;ESFUERZO;CPUE;N_BUZOS;POLIGONO
35;8193;-41.771389;-73.721389;10;942;2019;2;24;E;614336;150;1;36;3;2;2019;2;24;930;2019;2;24;1139;12;100;1;36;1;2
36;8193;-41.771389;-73.721389;10;942;2019;5;6;E;615080;226;3;226;3;1;2019;5;6;1140;2019;5;6;1416;18;100;1;226;1;2
37;8193;-41.771389;-73.721389;10;942;2019;3;12;E;610929;370;1;90;3;2;2019;3;12;930;2019;3;12;1126;25;35;1;154.3;1;2
38;8193;-41.771389;-73.721389;10;942;2019;3;18;E;618561;60;3;60;3;1;2019;3;18;1030;2019;3;18;1242;28;36;1;100;1;2
39;8193;-41.771389;-73.721389;10;942;2019;3;7;E;615005;750;1;182;3;2;2019;3;7;1230;2019;3;7;1457;20;40;1;273;1;2
40;8193;-41.771389;-73.721389;10;942;2019;4;7;E;609542;173;3;173;3;1;2019;4;7;1230;2019;4;7;1426;28;30;1;346;1;2
41;8193;-41.771389;-73.721389;10;942;2019;6;8;E;618633;200;1;41;3;2;2019;6;8;830;2019;6;8;1103;30;30;1;82;1;2
42;8193;-41.771389;-73.721389;10;942;2019;3;7;E;614997;400;1;97;3;2;2019;3;7;1300;2019;3;7;1520;38;45;1;129.3;1;2
43;8193;-41.771389;-73.721389;10;942;2019;5;16;E;614072;300;1;73;3;2;2019;5;16;900;2019;5;16;1127;15;100;1;73;1;2
44;8193;-41.771389;-73.721389;10;942;2019;3;19;E;614997;18;3;18;3;1;2019;3;19;1130;2019;3;19;1406;32;50;1;21.6;1;2
45;8193;-41.771389;-73.721389;10;942;2019;4;24;E;614372;145;3;145;3;1;2019;4;24;830;2019;4;24;1111;18;40;1;108.8;2;2
46;8193;-41.771389;-73.721389;10;942;2019;2;24;E;614336;20;3;20;3;1;2019;2;24;930;2019;2;24;1139;12;100;1;20;1;2
47;8193;-41.771389;-73.721389;10;942;2019;2;24;E;609386;500;1;121;3;2;2019;2;24;1000;2019;2;24;1240;30;50;1;145.2;1;2
48;8193;-41.771389;-73.721389;10;942;2019;3;10;E;609542;270;1;65;3;2;2019;3;10;800;2019;3;10;1028;33;30;1;130;1;2
49;8193;-41.771389;-73.721389;10;942;2019;4;24;E;614336;112;3;112;3;1;2019;4;24;845;2019;4;24;1103;15;40;1;168;1;2
50;8193;-41.771389;-73.721389;10;942;2019;3;18;E;614381;77;3;77;3;1;2019;3;18;1055;2019;3;18;1255;14;50;1;92.4;1;2
51;8193;-41.771389;-73.721389;10;942;2019;3;20;E;615841;110;3;110;3;1;2019;3;20;1200;2019;3;20;1402;18;45;1;146.7;1;2
52;8193;-41.771389;-73.721389;10;942;2019;6;9;E;614288;185;3;185;3;1;2019;6;9;930;2019;6;9;1217;23;100;2;92.5;2;2
53;8193;-41.771389;-73.721389;10;942;2019;3;4;E;614997;200;1;48;3;2;2019;3;4;1130;2019;3;4;1343;30;50;1;57.6;1;2
54;8193;-41.771389;-73.721389;10;942;2019;2;22;E;609386;101;3;101;3;1;2019;2;22;830;2019;2;22;1030;35;35;1;173.1;1;2
55;8193;-41.771389;-73.721389;10;942;2019;3;18;E;615841;138;3;138;3;1;2019;3;18;1020;2019;3;18;1244;18;55;1;150.5;1;2
56;8193;-41.771389;-73.721389;10;942;2019;2;20;E;614288;220;1;53;3;2;2019;2;20;730;2019;2;20;900;22;25;0;127.2;1;2
57;8193;-41.771389;-73.721389;10;942;2019;3;18;E;610928;11;3;11;3;1;2019;3;18;1000;2019;3;18;1244;42;40;1;16.5;1;2
58;8193;-41.771389;-73.721389;10;942;2019;3;23;E;614336;90;3;90;3;1;2019;3;23;800;2019;3;23;1001;15;30;1;180;1;2
59;8193;-41.771389;-73.721389;10;942;2019;3;27;E;614461;215;3;215;3;1;2019;3;27;1030;2019;3;27;1335;13;200;2;107.5;1;2
60;8193;-41.771389;-73.721389;10;942;2019;3;18;E;615005;550;1;133;3;2;2019;3;18;1030;2019;3;18;1231;20;45;1;177.3;1;2
61;8193;-41.771389;-73.721389;10;942;2019;3;7;E;614319;100;3;100;3;1;2019;3;7;1230;2019;3;7;1501;25;40;1;150;1;2
62;8193;-41.771389;-73.721389;10;942;2019;2;23;E;609386;750;1;182;3;2;2019;2;23;930;2019;2;23;1132;25;45;2;121.3;2;2
63;8193;-41.771389;-73.721389;10;942;2019;4;22;E;618561;83;3;83;3;1;2019;4;22;730;2019;4;22;918;15;30;1;166;1;2
64;8193;-41.771389;-73.721389;10;942;2019;6;8;E;615046;90;3;90;3;1;2019;6;8;800;2019;6;8;1113;30;50;1;108;1;2
65;8193;-41.771389;-73.721389;10;942;2019;3;19;E;617622;120;3;120;3;1;2019;3;19;1100;2019;3;19;1309;25;35;1;205.7;1;2
66;8193;-41.771389;-73.721389;10;942;2019;2;7;E;614997;300;1;73;3;2;2019;2;7;800;2019;2;7;1017;36;40;1;109.5;1;2
67;8193;-41.771389;-73.721389;10;942;2019;2;12;E;609542;300;1;73;3;2;2019;2;12;1100;2019;2;12;1302;35;30;1;146;1;2
68;8193;-41.771389;-73.721389;10;942;2019;2;26;E;609507;110;3;110;3;1;2019;2;26;1230;2019;2;26;1428;12;100;1;110;1;2
69;8193;-41.771389;-73.721389;10;942;2019;6;9;E;614009;97;3;97;3;1;2019;6;9;1000;2019;6;9;1216;15;45;2;64.7;2;2
70;8193;-41.771389;-73.721389;10;942;2019;3;7;E;617622;60;3;60;3;1;2019;3;7;1200;2019;3;7;1434;22;100;2;30;2;2
71;8193;-41.771389;-73.721389;10;942;2019;3;12;E;615005;880;1;213;3;2;2019;3;12;910;2019;3;12;1120;30;45;1;284;1;2
72;8193;-41.771389;-73.721389;10;942;2019;6;8;E;615046;320;1;65;3;2;2019;6;8;800;2019;6;8;1113;30;50;1;78;1;2
73;8193;-41.771389;-73.721389;10;942;2019;6;8;E;608838;48;3;48;3;1;2019;6;8;830;2019;6;8;1110;25;100;1;48;1;2
74;8193;-41.771389;-73.721389;10;942;2019;3;4;E;609386;110;3;110;3;1;2019;3;4;1100;2019;3;4;1411;40;40;1;165;1;2
75;8193;-41.771389;-73.721389;10;942;2019;3;19;E;614369;260;1;63;3;2;2019;3;19;1100;2019;3;19;1300;25;40;1;94.5;1;2
76;8193;-41.771389;-73.721389;10;942;2019;2;14;E;614997;700;1;169;3;2;2019;2;14;1320;2019;2;14;1613;35;50;1;202.8;1;2
77;8193;-41.771389;-73.721389;10;942;2019;3;10;E;614319;500;1;121;3;2;2019;3;10;830;2019;3;10;1102;28;45;1;161.3;1;2
78;8193;-41.771389;-73.721389;10;942;2019;2;24;E;614997;500;1;121;3;2;2019;2;24;1000;2019;2;24;1239;30;50;1;145.2;1;2
79;8193;-41.771389;-73.721389;10;942;2019;5;26;E;614336;144;3;144;3;1;2019;5;26;1115;2019;5;26;1344;12;100;1;144;1;2
80;8193;-41.771389;-73.721389;10;942;2019;2;21;E;610929;39;3;39;3;1;2019;2;21;730;2019;2;21;942;30;20;0;117;1;2
81;8193;-41.771389;-73.721389;10;942;2019;6;20;E;615080;82;3;82;3;1;2019;6;20;1315;2019;6;20;1515;15;45;1;109.3;1;2
82;8193;-41.771389;-73.721389;10;942;2019;4;23;E;614336;115;3;115;3;1;2019;4;23;800;2019;4;23;958;15;35;1;197.1;1;2
83;8193;-41.771389;-73.721389;10;942;2019;2;20;E;614312;270;1;65;3;2;2019;2;20;730;2019;2;20;853;30;25;0;156;1;2
84;8193;-41.771389;-73.721389;10;942;2019;3;7;E;616601;118;3;118;3;1;2019;3;7;1200;2019;3;7;1439;27;40;1;177;1;2
85;8193;-41.771389;-73.721389;10;942;2019;3;18;E;615005;47;3;47;3;1;2019;3;18;1030;2019;3;18;1231;20;45;1;62.7;1;2
86;8193;-41.771389;-73.721389;10;942;2019;3;20;E;614336;78;3;78;3;1;2019;3;20;1200;2019;3;20;1403;15;25;0;187.2;1;2
87;8193;-41.771389;-73.721389;10;942;2019;5;30;E;610929;200;1;42;3;2;2019;5;30;845;2019;5;30;1122;25;40;1;63;1;2
88;8193;-41.771389;-73.721389;10;942;2019;3;25;E;615005;550;1;133;3;2;2019;3;25;900;2019;3;25;1112;35;40;1;199.5;1;2
89;8193;-41.771389;-73.721389;10;942;2019;6;8;E;618633;88;3;88;3;1;2019;6;8;830;2019;6;8;1103;30;30;1;176;1;2
90;8193;-41.771389;-73.721389;10;942;2019;3;10;E;614997;400;1;97;3;2;2019;3;10;830;2019;3;10;1037;25;40;1;145.5;1;2
91;8193;-41.771389;-73.721389;10;942;2019;6;10;E;614336;150;3;150;3;1;2019;6;10;1015;2019;6;10;1352;15;200;2;75;1;2
92;8193;-41.771389;-73.721389;10;942;2019;2;12;E;614140;500;1;121;3;2;2019;2;12;1030;2019;2;12;1323;30;40;1;181.5;1;2
93;8193;-41.771389;-73.721389;10;942;2019;3;7;E;615044;300;1;73;3;2;2019;3;7;1200;2019;3;7;1426;32;40;1;109.5;1;2
94;8193;-41.771389;-73.721389;10;942;2019;3;14;E;618561;550;1;133;3;2;2019;3;14;1100;2019;3;14;1330;30;100;1;133;1;2
95;8193;-41.771389;-73.721389;10;942;2019;3;14;E;614140;600;1;145;3;2;2019;3;14;1100;2019;3;14;1314;30;40;1;217.5;1;2
96;8193;-41.771389;-73.721389;10;942;2019;6;8;E;609542;60;3;60;3;1;2019;6;8;800;2019;6;8;1045;40;40;1;90;1;2
97;8193;-41.771389;-73.721389;10;942;2019;2;9;E;610928;500;1;121;3;2;2019;2;9;800;2019;2;9;1012;20;50;1;145.2;1;2
98;8193;-41.771389;-73.721389;10;942;2019;3;7;E;614288;125;3;125;3;1;2019;3;7;1200;2019;3;7;1433;30;40;1;93.8;2;2
99;8193;-41.771389;-73.721389;10;942;2019;2;14;E;615005;900;1;218;3;2;2019;2;14;1230;2019;2;14;1502;45;40;1;327;1;2
100;8193;-41.771389;-73.721389;10;942;2019;3;30;E;614461;138;3;138;3;1;2019;3;30;915;2019;3;30;1148;16;100;1;138;1;2
101;8193;-41.771389;-73.721389;10;942;2019;3;7;E;614319;400;1;97;3;2;2019;3;7;1230;2019;3;7;1501;25;40;1;145.5;1;2
102;8193;-41.771389;-73.721389;10;942;2019;6;9;E;615090;180;3;180;3;1;2019;6;9;1000;2019;6;9;1218;15;100;2;90;2;2
103;8193;-41.771389;-73.721389;10;942;2019;3;18;E;610928;700;1;169;3;2;2019;3;18;1000;2019;3;18;1244;42;40;1;253.5;1;2
104;8193;-41.771389;-73.721389;10;942;2019;3;7;E;614288;280;1;68;3;2;2019;3;7;1200;2019;3;7;1433;30;40;1;51;2;2
105;8193;-41.771389;-73.721389;10;942;2019;2;20;E;616601;600;1;145;3;2;2019;2;20;1145;2019;2;20;1450;25;100;1;145;1;2
106;8193;-41.771389;-73.721389;10;942;2019;3;12;E;610928;650;1;157;3;2;2019;3;12;900;2019;3;12;1122;32;40;1;235.5;1;2
107;8193;-41.771389;-73.721389;10;942;2019;2;7;E;609542;350;1;85;3;2;2019;2;7;740;2019;2;7;945;38;35;1;145.7;1;2
108;8193;-41.771389;-73.721389;10;942;2019;6;20;E;614328;140;3;140;3;1;2019;6;20;1310;2019;6;20;1553;15;50;1;168;1;2
109;8193;-41.771389;-73.721389;10;942;2019;2;20;E;610928;250;1;61;3;2;2019;2;20;645;2019;2;20;840;30;25;0;146.4;1;2
110;8193;-41.771389;-73.721389;10;942;2019;3;18;E;614997;115;3;115;3;1;2019;3;18;1030;2019;3;18;1253;30;35;1;197.1;1;2
111;8193;-41.771389;-73.721389;10;942;2019;5;24;E;609434;500;1;106;3;2;2019;5;24;930;2019;5;24;1130;37;30;1;212;1;2
112;8193;-41.771389;-73.721389;10;942;2019;6;6;E;610929;39;3;39;3;1;2019;6;6;1330;2019;6;6;1524;20;30;1;78;1;2
113;8193;-41.771389;-73.721389;10;942;2019;2;20;E;614005;220;1;53;3;2;2019;2;20;700;2019;2;20;900;25;20;0;159;1;2
114;8193;-41.771389;-73.721389;10;942;2019;6;9;E;614288;550;1;112;3;2;2019;6;9;930;2019;6;9;1217;23;100;2;56;2;2
115;8193;-41.771389;-73.721389;10;942;2019;6;19;E;614328;143;3;143;3;1;2019;6;19;1215;2019;6;19;1448;17;100;1;143;1;2
116;8193;-41.771389;-73.721389;10;942;2019;3;4;E;615080;60;3;60;3;1;2019;3;4;1130;2019;3;4;1344;15;40;1;90;1;2
117;8193;-41.771389;-73.721389;10;942;2019;6;9;E;614009;300;1;61;3;2;2019;6;9;1000;2019;6;9;1216;15;45;2;40.7;2;2
118;8193;-41.771389;-73.721389;10;942;2019;2;21;E;616601;115;3;115;3;1;2019;2;21;730;2019;2;21;930;25;100;1;115;1;2
119;8193;-41.771389;-73.721389;10;942;2019;2;12;E;614997;700;1;169;3;2;2019;2;12;1000;2019;2;12;1256;31;55;1;184.4;1;2
120;8193;-41.771389;-73.721389;10;942;2019;4;1;E;608841;200;3;200;3;1;2019;4;1;1030;2019;4;1;1240;22;25;0;480;1;2
121;8193;-41.771389;-73.721389;10;942;2019;2;22;E;615044;20;3;20;3;1;2019;2;22;830;2019;2;22;1046;33;40;1;30;1;2
122;8193;-41.771389;-73.721389;10;942;2019;2;24;E;610928;25;3;25;3;1;2019;2;24;930;2019;2;24;1135;25;50;1;30;1;2
123;8193;-41.771389;-73.721389;10;942;2019;6;6;E;610929;200;1;41;3;2;2019;6;6;1330;2019;6;6;1524;20;30;1;82;1;2
124;8193;-41.771389;-73.721389;10;942;2019;6;10;E;615005;22;3;22;3;1;2019;6;10;1100;2019;6;10;1354;30;30;1;44;1;2
125;8193;-41.771389;-73.721389;10;942;2019;4;11;E;615832;600;1;145;3;2;2019;4;11;930;2019;4;11;1144;15;100;2;72.5;2;2
126;8193;-41.771389;-73.721389;10;942;2019;3;22;E;610928;530;1;128;3;2;2019;3;22;750;2019;3;22;905;28;35;1;219.4;1;2
127;8193;-41.771389;-73.721389;10;942;2019;3;25;E;615005;45;3;45;3;1;2019;3;25;900;2019;3;25;1112;35;40;1;67.5;1;2
128;8193;-41.771389;-73.721389;10;942;2019;4;15;E;609507;310;3;310;3;1;2019;4;15;800;2019;4;15;1030;12;50;2;186;2;2
129;8193;-41.771389;-73.721389;10;942;2019;3;4;E;609542;500;1;121;3;2;2019;3;4;1130;2019;3;4;1342;33;40;1;181.5;1;2
130;8193;-41.771389;-73.721389;10;942;2019;3;4;E;609542;110;3;110;3;1;2019;3;4;1130;2019;3;4;1342;33;40;1;165;1;2
131;8193;-41.771389;-73.721389;10;942;2019;5;24;E;609434;132;3;132;3;1;2019;5;24;930;2019;5;24;1130;37;30;1;264;1;2
132;8193;-41.771389;-73.721389;10;942;2019;2;20;E;618561;280;1;68;3;2;2019;2;20;700;2019;2;20;908;30;30;1;136;1;2
133;8193;-41.771389;-73.721389;10;942;2019;6;8;E;609542;400;1;82;3;2;2019;6;8;800;2019;6;8;1045;40;40;1;123;1;2
134;8193;-41.771389;-73.721389;10;942;2019;2;21;E;614450;58;3;58;3;1;2019;2;21;730;2019;2;21;945;18;20;0;174;1;2
135;8193;-41.771389;-73.721389;10;942;2019;3;18;E;618561;400;1;97;3;2;2019;3;18;1030;2019;3;18;1242;28;36;1;161.7;1;2
136;8193;-41.771389;-73.721389;10;942;2019;3;7;E;616601;200;1;48;3;2;2019;3;7;1200;2019;3;7;1439;27;40;1;72;1;2
137;8193;-41.771389;-73.721389;10;942;2019;3;7;E;614997;73;3;73;3;1;2019;3;7;1300;2019;3;7;1520;38;45;1;97.3;1;2
138;8193;-41.771389;-73.721389;10;942;2019;2;14;E;615044;480;1;116;3;2;2019;2;14;1215;2019;2;14;1547;25;100;1;116;1;2
139;8193;-41.771389;-73.721389;10;942;2019;3;22;E;615044;146;3;146;3;1;2019;3;22;730;2019;3;22;908;25;30;1;146;2;2
140;8193;-41.771389;-73.721389;10;942;2019;3;7;E;617622;320;1;77;3;2;2019;3;7;1200;2019;3;7;1434;22;100;2;38.5;2;2
141;8193;-41.771389;-73.721389;10;942;2019;2;24;E;610928;500;1;121;3;2;2019;2;24;930;2019;2;24;1135;25;50;1;145.2;1;2
142;8193;-41.771389;-73.721389;10;942;2019;3;19;E;615044;340;1;82;3;2;2019;3;19;1130;2019;3;19;1326;31;45;2;54.7;2;2
143;8193;-41.771389;-73.721389;10;942;2019;2;20;E;614319;320;1;77;3;2;2019;2;20;730;2019;2;20;858;25;28;1;82.5;2;2
144;8193;-41.771389;-73.721389;10;942;2019;2;22;E;610928;700;1;169;3;2;2019;2;22;800;2019;2;22;1016;32;37;1;274.1;1;2
145;8193;-41.771389;-73.721389;10;942;2019;6;9;E;615090;300;1;61;3;2;2019;6;9;1000;2019;6;9;1218;15;100;2;30.5;2;2
146;8193;-41.771389;-73.721389;10;942;2019;5;16;E;614072;104;3;104;3;1;2019;5;16;900;2019;5;16;1127;25;100;1;104;1;2
147;8193;-41.771389;-73.721389;10;942;2019;2;24;E;609386;61;3;61;3;1;2019;2;24;1000;2019;2;24;1240;30;50;1;73.2;1;2
148;8193;-41.771389;-73.721389;10;942;2019;6;10;E;611418;200;1;41;3;2;2019;6;10;1015;2019;6;10;1349;10;200;4;10.3;2;2
